350	35
1	1	0
1	2	40.33
1	3	56.79
1	4	29.96
1	5	39.29
1	6	31
1	7	21.57
1	8	11.4
1	9	27.59
1	10	39.58
1	11	65
1	12	47.16
1	13	32.49
1	14	42.03
1	15	11.64
1	16	41.46
1	17	11.76
1	18	28.93
1	19	32.11
1	20	34.05
1	21	38.21
1	22	22.19
1	23	39.96
1	24	27.75
1	25	34.08
1	26	14.28
1	27	11.64
1	28	32.37
1	29	58.41
1	30	64.3
1	31	57.9
1	32	51.91
1	33	34.6
1	34	51.73
1	35	32.88
1	36	32.7
1	37	15.69
1	38	51.23
1	39	41.93
1	40	39.22
1	41	27.35
1	42	33.47
1	43	6.63
1	44	64.19
1	45	46.5
1	46	35.13
1	47	6.86
1	48	23.52
1	49	52.2
1	50	26.7
1	51	65.78
1	52	58.66
1	53	36.08
1	54	11.18
1	55	62.75
1	56	12.82
1	57	35.79
1	58	34.09
1	59	36.75
1	60	39.47
1	61	22.04
1	62	35.13
1	63	66.71
1	64	47.78
1	65	36.8
1	66	5.35
1	67	58.3
1	68	43.72
1	69	54.97
1	70	54.51
1	71	9.28
1	72	45.25
1	73	42.78
1	74	24.94
1	75	56.51
1	76	25.57
1	77	14.51
1	78	19.42
1	79	35.97
1	80	42.8
1	81	36.18
1	82	37.96
1	83	44.63
1	84	20.44
1	85	64.67
1	86	32.83
1	87	18.71
1	88	8.16
1	89	65.91
1	90	34.14
1	91	30.88
1	92	8.58
1	93	59.99
1	94	44.8
1	95	37.39
1	96	73.63
1	97	25.62
1	98	57.26
1	99	68.97
1	100	58.83
1	101	45.34
1	102	47.86
1	103	28.97
1	104	46.38
1	105	69.4
1	106	49.75
1	107	8.43
1	108	29.28
1	109	19.19
1	110	55.08
1	111	46.35
1	112	48.33
1	113	36.02
1	114	10.63
1	115	28
1	116	53.79
1	117	7.77
1	118	42.74
1	119	78.03
1	120	54.82
1	121	52.77
1	122	63.58
1	123	52.45
1	124	24.08
1	125	11.49
1	126	38.63
1	127	48.05
1	128	49.16
1	129	60.53
1	130	23.46
1	131	29.04
1	132	38.94
1	133	27.38
1	134	11.32
1	135	21.35
1	136	36.29
1	137	33.02
1	138	43.84
1	139	8.33
1	140	37.77
1	141	4.61
1	142	17.89
1	143	43.56
1	144	36.59
1	145	51.63
1	146	4.91
1	147	59.53
1	148	16.43
1	149	46.78
1	150	44.7
1	151	46.01
1	152	52.02
1	153	25.91
1	154	26.97
1	155	35.57
1	156	56.23
1	157	31.65
1	158	43.89
1	159	63.52
1	160	9.62
1	161	39.33
1	162	20.19
1	163	43.7
1	164	33.18
1	165	7.85
1	166	32.6
1	167	48.02
1	168	53.35
1	169	25.52
1	170	46.55
1	171	63.99
1	172	56.56
1	173	26.5
1	174	34.21
1	175	22.13
1	176	36.93
1	177	73.15
1	178	79.55
1	179	37.16
1	180	44.18
1	181	23.03
1	182	57.17
1	183	45.1
1	184	39.43
1	185	28.36
1	186	46.62
1	187	38.76
1	188	41.37
1	189	53.38
1	190	58.02
1	191	60.77
1	192	11.92
1	193	58.83
1	194	59.25
1	195	69.94
1	196	33.4
1	197	53.61
1	198	49.2
1	199	19.99
1	200	21.82
1	201	13.2
1	202	40.81
1	203	20.07
1	204	29.6
1	205	46.33
1	206	48.3
1	207	55.87
1	208	51.62
1	209	41.78
1	210	47.46
1	211	42.24
1	212	53.85
1	213	50.55
1	214	25.13
1	215	25.37
1	216	44.64
1	217	49.9
1	218	39.55
1	219	34.78
1	220	50.42
1	221	44.5
1	222	44.45
1	223	69.8
1	224	20.74
1	225	63.81
1	226	18.33
1	227	40.92
1	228	36.05
1	229	17.37
1	230	7.93
1	231	19.23
1	232	40.46
1	233	50.49
1	234	34.92
1	235	36.21
1	236	25.43
1	237	34.41
1	238	53.99
1	239	26.18
1	240	45.28
1	241	28.54
1	242	13.81
1	243	25.08
1	244	74.12
1	245	24.63
1	246	35.47
1	247	26.47
1	248	20.63
1	249	37.45
1	250	17.51
1	251	17.9
1	252	51.22
1	253	47.82
1	254	53.72
1	255	35.51
1	256	39.84
1	257	32.86
1	258	62.83
1	259	56.63
1	260	52.87
1	261	56.74
1	262	41.88
1	263	34.2
1	264	38.88
1	265	58.49
1	266	28.75
1	267	44.91
1	268	68.44
1	269	30.1
1	270	73.23
1	271	53.54
1	272	48.08
1	273	38.93
1	274	24.4
1	275	33.39
1	276	52.69
1	277	54.54
1	278	43.24
1	279	5.25
1	280	51.46
1	281	41.41
1	282	29.52
1	283	22.66
1	284	43.19
1	285	34.92
1	286	66.58
1	287	42.86
1	288	53.62
1	289	71.46
1	290	24.87
1	291	27
1	292	49.25
1	293	29.58
1	294	31.69
1	295	45.66
1	296	29.45
1	297	66.84
1	298	41.31
1	299	43.61
1	300	47.42
1	301	17.87
1	302	62.58
1	303	38.72
1	304	66.02
1	305	33.37
1	306	45.57
1	307	62.47
1	308	41.16
1	309	34.87
1	310	42.28
1	311	47.05
1	312	22.45
1	313	20.33
1	314	32.05
1	315	18.16
1	316	51.65
1	317	67.75
1	318	72.69
1	319	11.25
1	320	29.8
1	321	33.94
1	322	28.84
1	323	43.72
1	324	12.56
1	325	48.41
1	326	41.31
1	327	40.9
1	328	40.98
1	329	39.13
1	330	38.12
1	331	41.53
1	332	56.81
1	333	71.64
1	334	33.02
1	335	43.75
1	336	10.89
1	337	63.45
1	338	45.16
1	339	61.06
1	340	80.71
1	341	24.2
1	342	76.48
1	343	67.42
1	344	22.12
1	345	50.55
1	346	65.11
1	347	20.74
1	348	62.33
1	349	8.42
1	350	9.2
2	1	40.33
2	2	0
2	3	19.27
2	4	12.31
2	5	5.72
2	6	11.03
2	7	21.8
2	8	42.38
2	9	14.57
2	10	6.81
2	11	26.41
2	12	11.06
2	13	9.91
2	14	8.48
2	15	42.55
2	16	9.53
2	17	30.25
2	18	12.84
2	19	10.69
2	20	10.29
2	21	9.67
2	22	24.45
2	23	20.83
2	24	14.3
2	25	8.78
2	26	30.75
2	27	49.22
2	28	10.08
2	29	22.84
2	30	25.81
2	31	18.71
2	32	31.98
2	33	9.12
2	34	13.9
2	35	12.72
2	36	9.94
2	37	36.6
2	38	12.04
2	39	14.6
2	40	10.56
2	41	15.65
2	42	11.17
2	43	37.48
2	44	25.9
2	45	9.09
2	46	8.39
2	47	40.58
2	48	19.11
2	49	13.2
2	50	15.36
2	51	27.14
2	52	19.96
2	53	6.99
2	54	36.08
2	55	24.33
2	56	30.3
2	57	11.05
2	58	8.93
2	59	6.96
2	60	8.24
2	61	19.58
2	62	8.66
2	63	28.06
2	64	20.98
2	65	7.13
2	66	44.02
2	67	20.48
2	68	8.09
2	69	16.08
2	70	16.12
2	71	47.73
2	72	8.2
2	73	6.72
2	74	16.41
2	75	18.73
2	76	16.39
2	77	26.51
2	78	23.27
2	79	10.91
2	80	7.77
2	81	8.93
2	82	5.31
2	83	9.17
2	84	22.28
2	85	25.76
2	86	9.65
2	87	22.79
2	88	46.43
2	89	26.55
2	90	10.42
2	91	11.98
2	92	34.12
2	93	20.27
2	94	9.95
2	95	19.93
2	96	34.49
2	97	15.53
2	98	19.78
2	99	30.39
2	100	19.27
2	101	9.09
2	102	15.52
2	103	12.98
2	104	10.49
2	105	31.02
2	106	16.04
2	107	36.22
2	108	13.35
2	109	31.14
2	110	19.54
2	111	11.33
2	112	10.01
2	113	6.87
2	114	36.73
2	115	14.34
2	116	19.76
2	117	38.54
2	118	6.62
2	119	38.64
2	120	15.59
2	121	14.59
2	122	24.08
2	123	15.27
2	124	22.38
2	125	38.44
2	126	7.84
2	127	11.2
2	128	10.89
2	129	21.8
2	130	18.46
2	131	15.8
2	132	5.68
2	133	14.97
2	134	40.67
2	135	23.11
2	136	11.85
2	137	10.57
2	138	13.34
2	139	37.53
2	140	7.81
2	141	40.29
2	142	30.71
2	143	15.28
2	144	12.46
2	145	26.74
2	146	39.89
2	147	20.42
2	148	28.05
2	149	11.64
2	150	8.25
2	151	8.69
2	152	13.31
2	153	16.44
2	154	19.88
2	155	11.37
2	156	18.99
2	157	14.37
